"Distance [mm]"	"Bt []"
72.351204	-0.16086636464322
72.565896	-0.161001677741352
72.780588	-0.122893499251059
72.99528	-0.0599212229741215
73.209972	-0.0385290637534718
73.424664	-0.0228482375691764
73.639356	-0.0140994214599432
73.854048	-0.00735695631644642
74.06874	-0.00443821622641879
74.283432	-0.00593241733915457
74.498124	-0.00849221868565235
74.712816	-0.0144214077785872
74.927508	-0.017416951786161
75.1422	-0.021488546801488
75.356892	-0.0224915352047529
75.571584	-0.0210993472212958
75.786276	-0.0203567136421583
76.000968	-0.018345402828159
76.21566	-0.0167576963224386
76.430352	-0.0134613776793585
76.645044	-0.0111334729828324
76.859736	-0.00883874676266172
77.074428	-0.00657621254178333
77.28912	-0.00434487851532249
77.503812	-0.00678692255437363
77.718504	-0.00388680491329539
77.933196	-0.00258247558957859
78.147888	-0.00215947518078822
78.36258	-0.00400648726002318
78.577272	-0.00450502219892742
78.791964	-0.00504712770932833
79.006656	-0.00563139633652119
79.221348	-0.00779540090882502
79.43604	-0.00658698702218186
79.650732	-0.0059491010879898
79.865424	-0.00724110322067289
80.080116	-0.0094133895927036
80.294808	-0.0110583777815311
80.5095	-0.012822897041782
80.724192	-0.0147053909100524
80.938884	-0.0175586280197204
81.153576	-0.0203048622119629
81.368268	-0.0205661747896111
81.58296	-0.0287480653294266
81.797652	-0.0370791409958078
82.012344	-0.0491556723039729
82.227036	-0.0549642893949519
82.441728	-0.0712111079884522
82.65642	-0.0940762919015567
82.871112	-0.110368959574168
83.085804	-0.128320986744559
83.300496	-0.168107515803479
83.515188	-0.210872397241724
83.72988	-0.281451561551961
83.944572	-0.345191598490621
84.159264	-0.325793649439527
84.373956	-0.316962673208075
84.588648	-0.387343451571149
84.80334	-0.456188182500539
85.018032	-0.427633468241469
85.232724	-0.351247167689191
85.447416	-0.28153779814347
85.662108	-0.209963543536274
85.8768	-0.138931640595299
86.091492	-0.0684540977825732
86.306184	-0.0486018823487592
86.520876	-0.0238510198865894
86.735568	-0.00130750255337007
86.95026	0.0190241270422483
87.164952	0.0371395157507788
87.379644	0.0429864754295754
87.594336	0.028275448316145
87.809028	0.0135243496694939
88.02372	-0.00126578583227192
88.238412	-0.00342209677821387
88.453104	-0.00192882889168448
88.667796	0.00107003322074827
88.882488	0.00347109659353244
89.09718	0.00658493745839748
89.311872	0.00713627727415219
89.526564	0.00528154943412487
89.741256	0.00540421787605422
89.955948	0.00626288831307232
90.17064	0.00701654590287572
90.385332	0.00935212961407378
90.600024	0.0100912380502541
90.814716	0.0104866739186229
91.029408	0.00770402583292448
91.2441	0.00484311382046777
91.458792	0.0009109758194125
91.673484	-0.000946430632987218
91.888176	-0.000987159464930002
92.102868	6.41536148963327E-05
92.31756	0.00361359249766804
92.532252	0.00519700816524207
92.746944	0.00545792801292677
92.961636	0.00399205653290421
93.176328	0.00108914681169997
93.39102	0.000336148220491875
93.605712	-0.000464986248867074
93.820404	0.00113656284899461
94.035096	0.00489401715820812
94.249788	0.00708752619902047
94.46448	0.00924605670002942
94.679172	0.00815680503676373
94.893864	0.00551798797191035
95.108556	0.00599563347433789
95.323248	0.00601552784865937
95.53794	0.00832044727990456
95.752632	0.0126156369321379
95.967324	0.0175314130016563
96.182016	0.023823328893274
96.396708	0.024183180560794
96.6114	0.024629964747458
96.826092	0.0279579251721655
97.040784	0.0344725584802585
97.255476	0.04184293043302
97.470168	0.0478349130550954
97.68486	0.0649350241304858
97.899552	0.0876443889091167
98.114244	0.110376886335735
98.328936	0.121310903160236
98.543628	0.169020620525394
98.75832	0.235624947105801
98.973012	0.314869449361953
99.187704	0.351784141581657
99.402396	0.365339646996231
99.617088	0.371617940840831
99.83178	0.380226620140205
100.046472	0.388227596639662
