"Distance [mm]"	"Distance/($D/2-$g/2)*180/pi []"	"Br []"
87.594336	146.84181690962	0.872812922545737
87.809028	147.201723323614	0.88038001608465
88.02372	147.561629737608	0.887738838625624
88.238412	147.921536151603	0.884814524754494
88.453104	148.281442565597	0.883182072879692
88.667796	148.641348979591	0.885237059753386
88.882488	149.001255393585	0.88253869186847
89.09718	149.361161807579	0.883262745825629
89.311872	149.721068221573	0.892659423804552
89.526564	150.080974635568	0.891931627733769
89.741256	150.440881049562	0.898719543783956
89.955948	150.800787463556	0.902456211123608
90.17064	151.16069387755	0.901923263227983
90.385332	151.520600291544	0.907790346010005
90.600024	151.880506705538	0.903923324035279
90.814716	152.240413119533	0.901203132080761
91.029408	152.600319533527	0.9070681860909
91.2441	152.960225947521	0.91295276999135
91.458792	153.320132361515	0.908439591663685
91.673484	153.680038775509	0.913232845163174
91.888176	154.039945189503	0.908555585609273
92.102868	154.399851603498	0.901989517730668
92.31756	154.759758017492	0.906380865478368
92.532252	155.119664431486	0.901521288669369
92.746944	155.47957084548	0.903078580505791
92.961636	155.839477259474	0.908605303659145
93.176328	156.199383673468	0.903567213066748
93.39102	156.559290087463	0.906094399637929
93.605712	156.919196501457	0.904859358844608
93.820404	157.279102915451	0.897434597566827
94.035096	157.639009329445	0.899903704205879
94.249788	157.998915743439	0.894220283837333
94.46448	158.358822157433	0.890599981802555
94.679172	158.718728571428	0.89462926948017
94.893864	159.078634985422	0.888458359448392
95.108556	159.438541399416	0.889293551044637
95.323248	159.79844781341	0.889099326023346
95.53794	160.158354227404	0.878982915810049
95.752632	160.518260641398	0.877692190494522
95.967324	160.878167055393	0.867452174209962
96.182016	161.238073469387	0.85566191202634
96.396708	161.597979883381	0.853345591784999
96.6114	161.957886297375	0.851104480357463
96.826092	162.317792711369	0.833430291881106
97.040784	162.677699125363	0.827692619469997
97.255476	163.037605539358	0.805910285478439
97.470168	163.397511953352	0.783802330241756
97.68486	163.757418367346	0.758954625639843
97.899552	164.11732478134	0.736162358157138
98.114244	164.477231195334	0.694651421682024
98.328936	164.837137609328	0.660578932935674
