"$alfa_R [deg]"	"Torque1.Torque [mNewtonMeter]"
143	77.0464953273985
144	82.3601161179124
145	21.8393259163205
146	34.5506343353822
147	-14.4253983321082
148	-74.4988163958028
149	-58.1064151501215
150	-1.60045908693137
151	50.6121115459513
152	66.8084233285049
153	22.8522857316436
154	-31.4043552265827
155	-15.0347303186322
156	-73.2856255907006
157	-76.7038654759002
158	-58.3155572901651
159	66.1130471100061
160	69.8873380426703
161	82.1882950146067
162	44.5613661424929
163	-18.8291701775341
164	-19.0833861434535
165	-74.9619379836177
166	-41.7494422974002
167	-37.4106390093036
168	62.2935749515968
169	60.3835960529695
170	103.311923379432
171	-3.81365923299963
172	-13.5499350175657
173	-51.7463738584961
174	-56.9733825153103
175	-64.2126917935928
176	42.6596630950449
177	77.2188661045531
178	85.8111688112673
179	23.95012323299
180	0.253523366727359
181	-61.3320911089135
182	-92.4087443505214
183	-68.8518411712177
184	-71.0058607293126
185	78.715242820809
186	70.1100172285093
187	65.3339679363326
188	5.86076907358217
189	15.6099450295777
190	-95.1282301315089
191	-72.1368190113161
192	-56.2500326312612
193	29.3127388546224
194	31.7116733415735
195	79.7292919660998
196	9.849293964243
197	-40.3039278922724
198	-38.8061661480167
199	-88.2317304312164
200	-69.9194441008349
201	-84.2078234478351
202	82.5536971086645
203	74.0086831252164
204	81.006676043818
205	18.1851385781053
206	30.5528782496718
207	-35.8922340835897
208	-68.4483420752463
209	-48.3473215793876
210	0.186774869017635
211	63.0213541528252
212	69.4918507764593
213	29.8265082354776
214	-35.4423072329517
215	-18.5400048887467
216	-91.001989541989
217	-80.9094861256644
218	-87.9999179371359
219	76.9239552141211
220	62.6733934931165
221	90.9692027502048
222	55.2184555961011
223	49.0081539061193
224	-18.6461675938164
225	-79.8007912028663
226	-32.3240244201578
227	-45.444441496614
228	62.1373286207885
229	53.9630867418642
230	52.0704539072201
231	-4.95849106034744
232	-12.2777287775814
233	-71.7109421590452
234	-63.2360659875981
235	-87.7524481108998
236	67.4861276658198
237	64.446850729037
238	96.4656533447539
239	66.0120127679307
240	-0.0420097079499879
241	-63.1703901749004
242	-90.6718399817643
243	-66.4347401436229
244	-45.360350171713
245	74.1403965696473
