"Distance [mm]"	"Flux_Lines []"
48.520392	-0.00215595177433259
48.735084	-0.00235085554247748
48.949776	-0.00254374777290331
49.164468	-0.00273501765395444
49.37916	-0.00292645593821361
49.593852	-0.00311690486898708
49.808544	-0.00330658466053772
50.023236	-0.00349570218279228
50.237928	-0.00368292149004451
50.45262	-0.00386855920223958
50.667312	-0.00405158178244683
50.882004	-0.00423142231441126
51.096696	-0.0044088548450126
51.311388	-0.0045840368294698
51.52608	-0.00475516687314207
51.740772	-0.0049217972755642
51.955464	-0.00508201842929466
52.170156	-0.00523756904104092
52.384848	-0.00538340981935659
52.59954	-0.00551316369474829
52.814232	-0.00562804680423404
53.028924	-0.00573131033400833
53.243616	-0.00580351172158686
53.458308	-0.00584828415387395
53.673	-0.00585465280478957
53.887692	-0.00584259547269685
54.102384	-0.00579932066854504
54.317076	-0.00572500621569484
54.531768	-0.00562623541254509
54.74646	-0.00550537330920478
54.961152	-0.0053669835502539
55.175844	-0.00521599352149355
55.390536	-0.00505070132430187
55.605228	-0.00487917695583413
55.81992	-0.00470872164275506
56.034612	-0.00452323280192638
56.249304	-0.00433702881360592
56.463996	-0.0041681390655727
56.678688	-0.00400856559380572
56.89338	-0.00386023229986649
57.108072	-0.00372208705618128
57.322764	-0.0035835257130905
57.537456	-0.00344357722214758
57.752148	-0.00329915935809706
57.96684	-0.00314202635756983
58.181532	-0.00297169527495489
58.396224	-0.00279153978605562
58.610916	-0.00258856021652852
58.825608	-0.0023934273572869
59.0403	-0.00220175424705024
59.254992	-0.00200387720127231
59.469684	-0.00180618980287576
59.684376	-0.00161167594906589
59.899068	-0.00141899526576726
60.11376	-0.00122698165656342
60.328452	-0.00103645688040169
60.543144	-0.000845548416842784
60.757836	-0.00065331773600521
60.972528	-0.000460811575675111
61.18722	-0.00026729785597114
61.401912	-7.30741601243916E-05
