"Time [ms]"	"-Moving1.LoadTorque [NewtonMeter]"	"Moving1.Torque [NewtonMeter]"
31.9759999999998	-0	0.32583987621827
32.0901999999998	-0	0.286137053309527
32.2043999999998	-0	0.226314065659081
32.3185999999998	-0	0.180613160021299
32.4327999999998	-0	0.168682465351432
32.5469999999998	-0	0.231335031535721
32.6611999999998	-0	0.382454917869036
32.7753999999998	-0	0.621621227925189
32.8895999999998	-0	0.356599805965542
33.0037999999998	-0	0.297615935783278
33.1179999999998	-0	0.238362441543739
33.2321999999998	-0	0.199140301722491
33.3463999999998	-0	0.221557706539389
33.4605999999998	-0	0.322396030623682
33.5747999999998	-0	0.51864839524847
33.6889999999998	-0	0.299466617960139
33.8031999999998	-0	0.255394235854744
33.9173999999998	-0	0.190591609180832
34.0315999999998	-0	0.141342238723416
34.1457999999998	-0	0.127531844059825
34.26	-0	0.189342128915247
34.3742000000002	-0	0.347752272248111
34.4884000000002	-0	0.58721944081009
34.6026000000002	-0	0.330877211310808
34.7168000000002	-0	0.26868514843785
34.8310000000002	-0	0.209842614071156
34.9452000000002	-0	0.168757786093377
35.0594000000002	-0	0.181288091607217
35.1736000000002	-0	0.289266703562599
35.2878000000002	-0	0.485740966390137
35.4020000000002	-0	0.272508093913362
35.5162000000002	-0	0.225916667367491
35.6304000000002	-0	0.160955526350329
35.7446000000002	-0	0.10944306537387
35.8588000000002	-0	0.0978159180614249
35.9730000000002	-0	0.162609383199493
36.0872000000002	-0	0.325310472420814
36.2014000000002	-0	0.567621336777597
36.3156000000002	-0	0.317442536240986
36.4298000000002	-0	0.256451857947191
36.5440000000002	-0	0.190720727007388
36.6582000000002	-0	0.147572902888989
36.7724000000002	-0	0.17185361855559
36.8866000000002	-0	0.275483821098686
37.0008000000002	-0	0.479132497670809
37.1150000000002	-0	0.262728180101306
37.2292000000002	-0	0.215456367178299
37.3434000000002	-0	0.14450542706267
37.4576000000002	-0	0.0911406405152164
37.5718000000002	-0	0.0853398424914619
37.6860000000002	-0	0.137401181464173
37.8002000000002	-0	0.314326945200583
37.9144000000002	-0	0.562446648346724
38.0286000000002	-0	0.310927965824137
38.1428000000002	-0	0.24366371659206
38.2570000000002	-0	0.171460877693107
38.3712000000002	-0	0.136476476471057
38.4854000000002	-0	0.161811225501947
38.5996000000002	-0	0.270738400039687
38.7138000000002	-0	0.478640195509386
38.8280000000002	-0	0.260521645557353
38.9422000000002	-0	0.202159619689771
39.0564000000002	-0	0.130156055643839
39.1706000000002	-0	0.078550255002442
