"Time [ms]"	"BranchCurrent(Vi_a) [A]"	"BranchCurrent(Vi_b) [A]"	"BranchCurrent(Vi_c) [A]"
38.2570000000002	0.0614118438422035	-7.17716948501032E-05	-0.0613400721473534
38.3712000000002	0.0485443935891652	-0.000197757519263512	-0.0483466360699017
38.4854000000002	0.0592742443397528	-0.000326294086703273	-0.0589479502530495
38.5996000000002	0.107616173081233	-0.00043418021139749	-0.107181992869835
38.7138000000002	0.209334512387451	-0.000535636185109224	-0.208798876202342
38.8280000000002	-4.44773810598653E-05	0.0911499093594398	-0.0911054319783799
38.9422000000002	-0.000127773178347072	0.0707145952802855	-0.0705868221019385
39.0564000000002	4.98902893110656E-06	0.046111428080539	-0.0461164171094701
39.1706000000002	0.000142529597449479	0.0278060793417618	-0.0279486089392113
39.2848000000003	0.00026848734833241	0.0263688772729115	-0.0266373646212439
39.3990000000003	0.000386692345960231	0.0547054518269369	-0.0550921441728972
39.5132000000003	0.000491697669684802	0.131361048273336	-0.13185274594302
39.6274000000003	0.000584227357229889	0.268784765914581	-0.269368993271811
39.7416000000003	-0.109568349006526	0.109652005664258	-8.36566577323145E-05
39.8558000000003	-0.0845847739502888	0.0845290073442052	5.57666060836265E-05
39.9700000000003	-0.060766019205566	0.0608447457455506	-7.87265399845236E-05
40.0842000000003	-0.0483107182107847	0.0485221477525906	-0.000211429541805877
40.1984000000003	-0.0604064484017142	0.0607431301716844	-0.000336681769970162
40.3126000000003	-0.111796438517269	0.112241421427911	-0.000444982910642794
40.4268000000003	-0.217867147834865	0.21840995971425	-0.000542811879385069
40.5410000000003	-0.0929207650422354	-2.62842879651393E-05	0.0929470493302006
40.6552000000003	-0.0706408370334578	-0.000116154630875586	0.0707569916643334
40.7694000000003	-0.0453532482276921	1.61554295674677E-05	0.0453370927981246
40.8836000000003	-0.0264353500289551	0.000154513574322689	0.0262808364546324
40.9978000000003	-0.0271781221293171	0.000280786675079245	0.0268973354542378
41.1120000000003	-0.0586551020904041	0.000397283623253538	0.0582578184671505
41.2262000000003	-0.139456683138857	0.00050155060589087	0.138955132532967
41.3404000000003	0.000163003204731005	-0.0680812363678573	0.0679182331631263
41.4546000000003	0.00017777816593629	-0.0508738293628758	0.0506960511969395
41.5688000000003	4.28053869394056E-05	-0.0262132300490705	0.0261704246621311
41.6830000000003	-9.26970572993491E-05	-0.0043296899865707	0.00442238704387005
41.7972000000003	-0.000227316080345501	0.000384690834335503	-0.000157374753990002
41.9114000000003	-0.000345704631294995	-0.0194519884340183	0.0197976930653133
42.0256000000003	-0.000453965412122728	-0.0764530096698989	0.0769069750820217
42.1398000000003	-0.000551319880388858	-0.189202061997388	0.189753381877776
42.2540000000003	0.0770876972376977	-0.0770451607236675	-4.25365140302863E-05
42.3682000000003	0.0538390067111214	-0.0537368655201909	-0.000102141190930494
42.4824000000003	0.0288801663875076	-0.0289102209134804	3.00545259727843E-05
