"Time [ms]"	"Moving1.Speed [rpm]"
48.8776000000004	1681.63078508349
48.9918000000004	1681.76533743969
49.1060000000004	1681.80441891497
49.2202000000004	1681.77797104768
49.3344000000004	1681.68205776275
49.4486000000004	1681.54795721221
49.5628000000004	1681.43371377352
49.6770000000004	1681.42447065441
49.7912000000004	1681.61506814131
49.9054000000004	1681.8266233579
50.0196000000004	1681.9001071737
50.1338000000004	1681.89630146583
50.2480000000004	1681.81399179994
50.3622000000004	1681.70503125879
50.4764000000004	1681.65546953822
50.5906000000004	1681.76216722739
50.7048000000004	1681.9005360419
50.8190000000004	1681.93439165084
50.9332000000004	1681.8965497407
51.0474000000004	1681.7909974574
51.1616000000004	1681.6560567047
51.2758000000004	1681.55181146769
51.3900000000004	1681.56397734233
51.5042000000004	1681.79109506844
51.6184000000004	1682.03386551718
51.7326000000004	1682.12128609321
51.8468000000004	1682.12838881421
51.9610000000005	1682.06762517808
52.0752000000005	1681.99427454054
52.1894000000005	1681.98745303508
52.3036000000005	1682.14521084249
52.4178000000005	1682.32248492183
52.5320000000005	1682.37544904961
52.6462000000005	1682.35588642275
52.7604000000005	1682.27425250305
52.8746000000005	1682.16367234326
52.9888000000005	1682.08240649855
53.1030000000005	1682.1261906816
53.2172000000005	1682.39538935236
53.3314000000005	1682.67675447825
53.4456000000005	1682.79143015922
53.5598000000005	1682.8241081242
53.6740000000005	1682.79108127403
53.7882000000005	1682.74431236436
53.9024000000005	1682.77027874436
54.0166000000005	1682.97245031973
54.1308000000005	1683.18396435734
54.2450000000005	1683.24833258566
54.3592000000005	1683.23487929389
54.4734000000005	1683.15727960289
54.5876000000005	1683.05486113918
54.7018000000005	1682.99359156916
54.8160000000005	1683.06385461756
54.9302000000005	1683.37122951159
55.0444000000005	1683.69136515825
55.1586000000005	1683.8374637684
55.2728000000005	1683.89828412645
55.3870000000005	1683.8938217508
55.5012000000005	1683.88215703031
55.6154000000005	1683.95181959434
55.7296000000005	1684.21043932786
55.8438000000005	1684.46936957884
55.9580000000005	1684.56835138424
56.0722000000005	1684.58435501932
56.1864000000005	1684.52548645893
56.3006000000005	1684.43973335679
56.4148000000005	1684.40540754382
56.5290000000005	1684.52063414397
56.6432000000005	1684.65965989878
56.7574000000005	1684.69141624843
56.8716000000005	1684.64901413984
56.9858000000005	1684.53486747322
57.1	1684.38638294264
57.2141999999995	1684.26740104313
57.3283999999995	1684.26121028929
57.4425999999995	1684.46394536684
57.5567999999995	1684.68518087209
57.6709999999995	1684.75225017688
57.7851999999995	1684.73796157948
57.8993999999995	1684.65954877895
58.0135999999995	1684.57071260256
58.1277999999995	1684.54441694622
58.2419999999995	1684.67957139042
58.3561999999995	1684.840441027
58.4703999999995	1684.87877058582
58.5845999999995	1684.839259013
58.6987999999995	1684.73010971806
58.8129999999995	1684.59043327561
58.9271999999995	1684.48646666739
59.0413999999995	1684.50886764282
59.1555999999995	1684.75748152851
59.2697999999995	1685.01939631341
59.3839999999995	1685.11465056851
59.4981999999995	1685.12725638305
59.6123999999995	1685.07074866393
59.7265999999995	1684.96862297198
59.8407999999995	1684.91280076987
59.9549999999995	1685.03970188153
60.0691999999995	1685.19406306105
60.1833999999995	1685.22282929364
60.2975999999995	1685.17176143122
60.4117999999995	1685.04924468238
60.5259999999995	1684.90269937614
60.6401999999995	1684.80562118028
60.7543999999995	1684.85189425712
60.8685999999995	1685.13942135711
60.9827999999995	1685.44325607941
61.0969999999995	1685.57321598009
61.2111999999995	1685.61601331137
61.3253999999995	1685.59142937703
61.4395999999995	1685.55954607026
61.5537999999995	1685.61343287043
61.6679999999995	1685.86118358908
61.7821999999995	1686.11121358418
61.8963999999995	1686.19980646225
62.0105999999995	1686.20379916767
62.1247999999995	1686.12331944503
62.2389999999996	1686.01101188875
62.3531999999996	1685.95282856901
62.4673999999996	1686.0463233442
62.5815999999996	1686.16875432794
62.6957999999996	1686.18459116858
62.8099999999995	1686.12408453473
62.9241999999995	1685.9898555339
63.0383999999995	1685.82192661563
63.1525999999995	1685.67240208337
