"Time [ms]"	"FL_a [Wb]"	"FL_c [Wb]"	"FL_b [Wb]"
18.3862	-0.17024651392051	0.320366649519855	-0.147563197439104
18.5004	-0.126145651986476	0.306092234605696	-0.157087492922694
18.6146	-0.0854556249387144	0.289818061833089	-0.169843403288648
18.7288	-0.0482603467832672	0.271155743825172	-0.185900298749369
18.843	-0.0154000472218553	0.2537767638535	-0.206082528524762
18.9572	0.0117414053984035	0.244932334228583	-0.231729536086627
19.0714	0.0399660920908745	0.232460452541626	-0.255987516632305
19.1856	0.0697454532497999	0.216425980002902	-0.278315605306696
19.2998	0.101339223187426	0.197687472566177	-0.298360075914482
19.414	0.135300530136939	0.176970213558371	-0.315422844676001
19.5282	0.145150148069219	0.133057602975425	-0.301094444150119
19.6424	0.1578653122902	0.0921916434077743	-0.285139488928141
19.7566	0.173892469415408	0.0548316355560528	-0.266792515814054
19.8707999999999	0.196790973233562	0.0245555757401724	-0.255475325108147
19.9849999999999	0.222907839478559	-0.00226205474094388	-0.248025650054795
20.0991999999999	0.247752504043539	-0.0300643240134006	-0.236702231256735
20.2133999999999	0.270791495872264	-0.0593227148548455	-0.221675265571408
20.3275999999999	0.291687888313449	-0.0902882744850471	-0.203755356205607
20.4417999999999	0.309920447645678	-0.123363261883636	-0.183483782192256
20.5559999999999	0.295635314055954	-0.133431903471858	-0.139662508940023
20.6701999999999	0.279945356163206	-0.146147242332966	-0.0986720770630513
20.7843999999999	0.258307593226532	-0.16039859193997	-0.0594119714846049
20.8985999999999	0.256656501482483	-0.187598396614301	-0.0333210365999762
21.0127999999999	0.250647510259266	-0.214166073027185	-0.00682845816711154
21.1269999999999	0.240592539868469	-0.23954008644533	0.0205857434578443
21.2411999999999	0.226672070478659	-0.263245982336172	0.0493395160244183
21.3553999999999	0.209578979165141	-0.284887303241104	0.0797514087455041
21.4695999999999	0.189943362374704	-0.304071988191338	0.112108387829789
21.5837999999999	0.168756728286388	-0.319868979281676	0.147165489787778
21.6979999999999	0.124862357994282	-0.305428888379506	0.156961086663845
21.8121999999999	0.0843242566082713	-0.28902844756424	0.169929464341765
21.9263999999999	0.0472896537366603	-0.270209147940857	0.186208911176335
22.0405999999999	0.0147470267486767	-0.25331447313867	0.206765433642701
22.1547999999999	-0.0124963241243794	-0.24406193521542	0.232368806786857
22.2689999999999	-0.0407939564255278	-0.231446673546497	0.256604110531809
22.3831999999999	-0.0707144070573667	-0.215050829346963	0.278843184466546
22.4973999999999	-0.102400712112083	-0.19628193623569	0.298833942032606
22.6115999999999	-0.136564998322621	-0.175416644936808	0.315729377188121
22.7257999999999	-0.146481243133481	-0.13155769381405	0.301356421720076
22.8399999999999	-0.159343451271185	-0.0908218653210307	0.2852662954443
22.9541999999999	-0.175443676778804	-0.0535235453274439	0.266848778138933
23.0683999999999	-0.198243264691996	-0.0231345210133103	0.254998227951556
23.1825999999999	-0.224316467733247	0.0037351352395486	0.247349084199678
23.2967999999999	-0.249057172843214	0.0316477066159056	0.235719305412615
23.4109999999999	-0.271994054732119	0.0610077047345907	0.220491437624905
23.5251999999999	-0.292742317881583	0.0921149630494095	0.202375612373287
23.6393999999999	-0.310819155577074	0.125328822892915	0.181995523791818
23.7535999999999	-0.296471412991187	0.135439879890789	0.138223896109701
23.8677999999999	-0.280719220290976	0.148193065151716	0.0972778370651393
23.9819999999999	-0.258387692360544	0.162205073033012	0.0577855633281734
24.0961999999999	-0.256393856558797	0.189350733575577	0.0316466076933634
24.2103999999999	-0.250107374604064	0.215854314624503	0.00509964845568704
24.3245999999999	-0.239728978707242	0.241122344095788	-0.022408706452985
24.4387999999999	-0.225611646974583	0.264716604828872	-0.0512552069465734
24.5529999999999	-0.208282028963934	0.286204847086125	-0.0817969518849977
24.6671999999999	-0.188535787691668	0.305222598672987	-0.114286207331306
24.7813999999999	-0.144692670393876	0.291062853317669	-0.124425341280744
24.8955999999999	-0.103602455683913	0.275585250444802	-0.137124410171265
25.0097999999999	-0.0660014066764327	0.257842628479632	-0.153115430732608
25.1239999999999	-0.0400769296556177	0.257400310104994	-0.180554816366434
25.2381999999999	-0.013754164267533	0.252553350317797	-0.207371108417125
25.3523999999999	0.013369856767288	0.243465486537539	-0.233122970314784
25.4665999999999	0.0417567050555024	0.230490797980833	-0.257298015239801
25.5807999999999	0.0717355186903522	0.214144737528565	-0.279494869858635
25.6949999999999	0.103542510765436	0.195097672049971	-0.299379750508516
25.8091999999999	0.137813417721068	0.174257584178643	-0.31616678384636
25.9233999999999	0.147759258374073	0.130426027430593	-0.301762733495863
26.0375999999999	0.160656167938724	0.0897280895152395	-0.28562935636229
26.1517999999999	0.176839976174997	0.0525173547372964	-0.267112830860832
26.2659999999999	0.199447548498815	0.0219440713812602	-0.25482910048789
26.3801999999999	0.22546737662872	-0.00496765589381638	-0.24690641991027
26.4943999999999	0.250136593040096	-0.0329349676208142	-0.235179235644031
26.6085999999999	0.272989901038049	-0.0623555448088483	-0.219792518353927
26.7227999999998	0.293617244327066	-0.0935553786222156	-0.201587195162673
26.8369999999998	0.311569844262847	-0.126855163245174	-0.181199228843769
26.9511999999998	0.297203772769779	-0.136947439843046	-0.137426091602345
27.0653999999998	0.281420426658865	-0.149692780467283	-0.0964937056266592
27.1795999999998	0.258425837070721	-0.163374528761653	-0.0566924838907866
27.2937999999998	0.256228857170164	-0.190479792083774	-0.0305378533982912
27.4079999999998	0.249861744128746	-0.216938989852236	-0.00397306993594008
27.5221999999998	0.239343945452166	-0.24214466965851	0.0235667705830965
27.6363999999998	0.22516993902324	-0.265652410840681	0.0524652622864418
27.7505999999998	0.207790373469853	-0.287049471704262	0.083059317038927
27.8647999999998	0.188047568044258	-0.305975949170468	0.115593486180107
27.9789999999998	0.144195298324082	-0.291802974009221	0.125702059608077
28.0931999999998	0.103087375074597	-0.27632445014015	0.13835863985791
28.2073999999998	0.065135350865195	-0.257735268757286	0.153977032860056
28.3215999999998	0.0392306566040467	-0.257367347299468	0.181408137453056
28.4357999999998	0.0128906340938222	-0.252278809567314	0.208182568106339
28.5499999999998	-0.0142345463507542	-0.24331061784887	0.233899964608338
28.6641999999998	-0.0426621761131026	-0.23020398749388	0.258002103484386
28.7783999999998	-0.0726386597658316	-0.213933731478871	0.280161149651028
28.8925999999998	-0.104502780359732	-0.19487417311111	0.299948269958035
29.0067999999998	-0.13880513347374	-0.17408596464032	0.316653934465297
29.1209999999998	-0.148693302538823	-0.130220312976804	0.302263905898697
29.2351999999998	-0.161527276525731	-0.0894860074350641	0.286152159211781
29.3493999999998	-0.177684521308692	-0.0522748871178151	0.267623555812637
29.4635999999998	-0.19997621670137	-0.0214135172788634	0.254822929350656
29.5777999999998	-0.225964120628488	0.00550073684968727	0.246864095880557
29.6919999999998	-0.250597758727211	0.0334723319006229	0.235141178945069
29.8061999999998	-0.273407656619046	0.0629033457219844	0.219804389211451
29.9203999999998	-0.294011785747853	0.0940911595956295	0.201603979479092
30.0345999999998	-0.31190616853605	0.127410437918187	0.181244752471283
30.1487999999998	-0.297564829940939	0.137444291911002	0.137433179612257
30.2629999999998	-0.281786340749748	0.150153475530997	0.0964859119751506
30.3771999999998	-0.258416711078304	0.163579502266717	0.0564487479002208
30.4913999999998	-0.256305748504439	0.190696217835281	0.0303284730810581
30.6055999999998	-0.249918392488451	0.21713229027463	0.00376267682427491
30.7197999999998	-0.239518066960634	0.242329820472802	-0.0237597564899731
30.8339999999998	-0.225302425725466	0.265816687749759	-0.0526547270299819
30.9481999999998	-0.208028149233046	0.287224811523571	-0.0832094734888993
31.0623999999998	-0.188255927628633	0.306123089205083	-0.115746250926523
31.1765999999998	-0.144387743971905	0.291958801894469	-0.125820796419831
31.2907999999998	-0.103245826266853	0.276507954265829	-0.138429775196275
31.4049999999998	-0.065199017710466	0.257856744652106	-0.153933075774545
31.5191999999998	-0.0392766454194928	0.257392510388623	-0.181331200212709
31.6333999999998	-0.0129714845993515	0.252559510493857	-0.208118564719067
31.7475999999998	0.0141440324672081	0.243466949256299	-0.233829282612865
31.8617999999998	0.042543410450981	0.230555390590231	-0.257940142577151
31.9759999999998	0.0724997768086532	0.214224103802442	-0.280103181789772
32.0901999999998	0.10432197821892	0.19524985258078	-0.299914454340881
32.2043999999998	0.138593371214956	0.174480644757411	-0.316636131052705
32.3185999999998	0.148443259421145	0.130584986017358	-0.302271950863527
32.4327999999998	0.161252078064325	0.089834769629631	-0.286175650505082
32.5469999999998	0.17734933656665	0.0525723685378992	-0.267701660482273
32.6611999999998	0.199653695840756	0.0217336601105181	-0.254917038745833
32.7753999999998	0.225640966479075	-0.00517256625906103	-0.247089457815384
32.8895999999998	0.250307826532424	-0.0331019994673699	-0.235420390216175
33.0037999999998	0.273138465097386	-0.062504077846138	-0.220171592593198
33.1179999999998	0.293765621949902	-0.0936623206862185	-0.202036123341729
33.2321999999998	0.311713811423349	-0.126923429200143	-0.181736725018621
33.3463999999998	0.297368905238762	-0.136957204139089	-0.137926909120096
33.4605999999998	0.281645612503382	-0.149610155127289	-0.0969276881584723
33.5747999999998	0.258270050709245	-0.163037701762719	-0.0568929087621908
33.6889999999998	0.256413077500997	-0.190182695338593	-0.0308067984104202
33.8031999999998	0.249941678673017	-0.216599735884794	-0.00422300817141437
33.9173999999998	0.239840217510891	-0.241872828123527	0.0232182961959073
34.0315999999998	0.225653113516215	-0.265369404184631	0.0521023938806371
34.1457999999998	0.208537496623183	-0.28684049034067	0.0825916833362025
34.26	0.188816998976013	-0.305778077156028	0.115091964048569
