"Time [ms]"	"BranchCurrent(Vi_a) [A]"	"BranchCurrent(Vi_b) [A]"	"BranchCurrent(Vi_c) [A]"
13.704	2.46958470542756	-0.000454853906294045	-2.46912985152127
13.8182	2.64380886756142	-0.000349833590022461	-2.6434590339714
13.9324	2.87138202216649	-0.00043708627407208	-2.87094493589242
14.0466	3.17815424867077	-0.000531334735642469	-3.17762291393512
14.1608	2.07405160984279	0.638691300213023	-2.71274291005581
14.275	1.23636196747627	1.13359707749027	-2.36995904496654
14.3892	0.573703271670258	1.54943549954785	-2.1231387712181
14.5034	0.000593997138724656	1.92140934127776	-1.92200333841648
14.6176	0.000120580746122115	2.02995754686712	-2.03007812761325
14.7318	0.000205665533135185	2.15788184907883	-2.15808751461197
14.846	0.000297804906525173	2.30888703312436	-2.30918483803089
14.9602	0.000387187155080706	2.49612943624781	-2.49651662340289
15.0744	0.0004770521148933	2.73900421520583	-2.73948126732072
15.1886	0.000561582297399559	3.06817256166141	-3.06873414395881
15.3028	-0.611566215548132	2.61419823549462	-2.00263201994648
15.417	-1.08297440854561	2.29202317174236	-1.20904876319674
15.5312	-1.47393339929128	2.06827675406872	-0.594343354777436
15.6454	-1.85407855442384	1.85474193171403	-0.000663377290183842
15.7596	-1.96948750008754	1.9696611972024	-0.000173697114866256
15.8738	-2.10378098084394	2.10404311139745	-0.000262130553506878
15.988	-2.27167925647186	2.27202924161704	-0.000349985145182252
16.1022	-2.47649474103018	2.47693350113584	-0.00043876010566013
16.2164	-2.76063564272967	2.76115964541198	-0.00052400268231656
16.3306	-2.33703315275075	1.74620508182287	0.590828070927879
16.4448	-2.02227743799657	0.960761102078378	1.06151633591819
16.559	-1.7990243233793	0.353858994031369	1.44516532934793
16.6732	-1.71258421241447	0.000403354232042685	1.71218085818243
16.7874	-1.81600642841928	0.000139322905161133	1.81586710551412
16.9016	-1.94151225471782	0.000222496469126693	1.94128975824869
17.0158	-2.09224667144343	0.000319222962776269	2.09192744848065
17.13	-2.28011077614648	0.000404506431910534	2.27970626971457
17.2442	-2.52139489726846	0.000489732307437066	2.52090516496103
17.3584	-1.53909030299127	-0.584439698829078	2.12353000182035
17.4726	-0.761699831081101	-1.0513948938366	1.8130947249177
17.5868	-0.155968760933007	-1.43660556920719	1.5925743301402
17.701	-0.000176055062015623	-1.60769113224327	1.60786718730528
17.8152	-0.000102339929695286	-1.70534015146888	1.70544249139857
17.9294	-0.000191137547066931	-1.82226167193821	1.82245280948528
18.0436	-0.00028627062701224	-1.96161251693789	1.96189878756491
18.1578	-0.000375550502263206	-2.13509198492325	2.13546753542552
18.272	-0.000460526913573143	-2.35211506766086	2.35257559457443
18.3862	-0.000542906609055193	-2.64586681482066	2.64640972142971
18.5004	0.574148022038676	-2.23858356328091	1.66443554124223
18.6146	1.02711270041444	-1.93830057282723	0.911187872412794
18.7288	1.39739808432512	-1.73351390459031	0.336115820265192
18.843	1.65488889905882	-1.65530836772066	0.00041946866183884
18.9572	1.76367573479595	-1.76384537180848	0.000169637012527035
19.0714	1.89442895040038	-1.89468460245169	0.00025565205131417
19.1856	2.05488932898204	-2.05523879833004	0.000349469348004838
19.2998	2.25558307447105	-2.25601659544812	0.000433520977066948
19.414	2.51832179771684	-2.51883758754769	0.000515789830854541
19.5282	2.12213049849053	-1.54875080877287	-0.573379689717664
19.6424	1.82039339002829	-0.791025067112308	-1.02936832291598
19.7566	1.61271080944173	-0.20997596168088	-1.40273484776085
19.8707999999999	1.5987661939057	-0.000265394004982489	-1.59850079990072
19.9849999999999	1.70137044601394	-0.000137951052547868	-1.70123249496139
20.0991999999999	1.82440693505628	-0.000226417738472757	-1.82418051731781
20.2133999999999	1.97397450086025	-0.000320759064395869	-1.97365374179585
20.3275999999999	2.16029242896599	-0.000405958982764586	-2.15988646998322
20.4417999999999	2.39753336523698	-0.000489740063195603	-2.39704362517378
20.5559999999999	1.43556804254946	0.575365723170094	-2.01093376571955
20.6701999999999	0.675468307646552	1.03383235057713	-1.70930065822368
20.7843999999999	0.000603773526353546	1.45427307731786	-1.45487685084422
20.8985999999999	1.93859040479694E-05	1.54894316013624	-1.54896254604029
21.0127999999999	0.000105610335558908	1.64746525604986	-1.64757086638541
21.1269999999999	0.000195871927843646	1.76376746582112	-1.76396333774896
21.2411999999999	0.000290831348778869	1.90424905845089	-1.90453988979967
21.3553999999999	0.000379855736500434	2.07807611266349	-2.07845596839999
21.4695999999999	0.000463732435629358	2.29688760104372	-2.29735133347934
21.5837999999999	0.000544940094327062	2.59104180443949	-2.59158674453382
21.6979999999999	-0.567321930031234	2.18998473592848	-1.62266280589724
21.8121999999999	-1.01716040120574	1.89647059182898	-0.879310190623239
21.9263999999999	-1.38083406645507	1.69715571926666	-0.316321652811587
22.0405999999999	-1.63068196432593	1.63108674943572	-0.000404785109781702
22.1547999999999	-1.73875194954663	1.73893009127775	-0.000178141731120185
22.2689999999999	-1.87292491093282	1.87318394419698	-0.000259033264157882
22.3831999999999	-2.03260811285061	2.03296600775383	-0.000357894903221911
22.4973999999999	-2.23897242088716	2.2394077715879	-0.00043535070073375
22.6115999999999	-2.50306657544226	2.50358825544449	-0.000521680002230962
22.7257999999999	-2.11213488025606	1.53986366403112	0.572271216224937
22.8399999999999	-1.81218772193655	0.789075884087356	1.02311183784919
22.9541999999999	-1.60893768542958	0.212161906397271	1.39677577903231
23.0683999999999	-1.59276409747203	0.000276700531752605	1.59248739694028
23.1825999999999	-1.69779605152233	0.000142325012157553	1.69765372651018
